Publisher (costs in MEUR),2010,2011,2012,2013,2014,2015,2016,2017,Total,%
SPARC,0,0,0,0,0,0,0,0.01,0.01,0.01
Adato Energia Oy,0,0,0,0,0,0,0,0,0.01,0.01
Statista GmbH,0,0,0,0,0,0,0,0.01,0.01,0.01
SNL Financial,0,0,0,0,0,0,0,0.01,0.01,0.01
BioMedCentral,0,0,0,0,0,0,0.01,0.01,0.01,0.01
Prowledge Oy,0,0,0,0,0,0,0,0,0.01,0
NewspaperDirect,0,0,0,0,0,0,0,0,0.01,0
Springer/LM Tietopalvelut Oy,0,0,0,0,0,0,0.01,0,0.01,0
Stratfor Global Intelligence,0,0,0,0,0,0,0.01,0,0.01,0
World Scientific Publishing,0,0,0,0,0,0,0,0,0.01,0
Statistikcentralen,0,0,0,0,0,0,0,0,0.01,0
National Academy of Sciences,0,0,0,0,0,0,0.01,0,0.01,0
Savon Media,0,0,0,0,0,0,0,0,0.01,0
Canadian Science Publishing,0,0,0,0,0,0,0,0,0.01,0
MIPP International,0,0,0,0,0,0,0,0,0.01,0
Association for the Advancement of Computing in Education (AACE),0,0,0,0,0,0,0,0,0.01,0
Backpages LTD,0,0,0,0,0,0,0,0,0.01,0
Metsäntutkimuslaitos (Metla),0,0,0,0,0,0,0,0,0.01,0
Social Science Electronic Publishing,0,0,0,0,0,0,0,0,0.01,0
CSH Press,0,0,0,0,0,0,0,0,0.01,0
MacLaser,0,0,0,0,0,0,0,0,0.01,0
MUSEEC,0,0,0,0,0,0,0,0,0.01,0
Suomen Eura-ryhmä/Mikko Syvänne tmi,0,0,0,0,0,0,0,0,0.01,0
Liber,0,0,0,0,0,0,0,0,0.01,0
Ornanet,0,0,0,0,0,0,0,0,0.01,0
Bloomberg BNA,0,0,0,0,0,0,0,0,0.01,0
American Dietetic Association (ADA),0,0,0,0,0,0,0,0,0.01,0
Thompson Henry,0,0,0,0,0,0,0,0,0.01,0
Oriprobe,0,0,0,0,0,0,0,0,0.01,0
Materials Research Society (MRS),0,0,0,0,0,0,0,0,0.01,0
Britannica/LM Info,0,0,0,0,0,0,0,0,0.01,0
FitchSolutions,0,0,0,0,0,0,0,0.01,0.01,0
Marston Book Services Ltd,0,0,0,0,0,0,0,0,0.01,0
John Benjamins,0,0,0,0,0,0,0,0,0.01,0
International Monetary Fund (IMF),0,0,0,0,0,0,0,0,0.01,0
Grove,0,0,0,0,0,0,0,0,0.01,0
Veterinary Science Database,0,0,0,0,0,0,0.01,0,0.01,0
Scandinavian university press,0,0,0,0,0,0,0,0,0.01,0
Swets Information Services,0,0,0,0,0,0,0,0,0.01,0
Geological Society of London/Ebsco,0,0,0,0,0,0.01,0,0,0.01,0
Mudpie,0,0,0,0,0,0,0,0,0.01,0
Urban View,0,0,0,0,0,0,0,0,0.01,0
